hashed_project_id,run_id,product_id,platform_id,title,category,categories_flat,category_deepest_level,deepest_category_id,segment_name,initial_taxonomy_name,initial_taxonomy_definition,refined_taxonomy_name,refined_taxonomy_definition,taxonomy_stage
02e2ecdb5531f77df9161501f1edc51122f99e27,RUN_20250718T063559Z_eff1,98,B095X911T8,"Amazon Basics Smart Switch, Single Pole, Works with Alexa Only, 2.4 GHz Wi-Fi, No Hub Required, White",Light Switches,Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Light Switches,5,6291358011,Single Pole Smart Switches,Single Pole Smart Switches,"Smart light switches designed for single pole electrical configurations with Wi-Fi connectivity, e.g. single pole smart switches, basic smart switches",Single Pole Smart Switches,"Smart light switches designed for single pole electrical configurations with Wi-Fi connectivity, e.g. single pole smart switches, basic smart switches",extraction
02e2ecdb5531f77df9161501f1edc51122f99e27,RUN_20250718T063559Z_eff1,102,B07HGW8N7R,"Kasa Smart Light Switch HS200P3, Single Pole, Needs Neutral Wire, 2.4GHz Wi-Fi Light Switch Works with Alexa and Google Home, UL Certified, No Hub Required, 3 Count -Pack of 1 , White White, Alexa Compatible 3 Pack",Light Switches,Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Light Switches,5,6291358011,Single Pole Smart Switches,Single Pole Smart Switches,"Smart light switches designed for single pole electrical configurations with Wi-Fi connectivity, e.g. single pole smart switches, basic smart switches",Single Pole Smart Switches,"Smart light switches designed for single pole electrical configurations with Wi-Fi connectivity, e.g. single pole smart switches, basic smart switches",extraction
02e2ecdb5531f77df9161501f1edc51122f99e27,RUN_20250718T063559Z_eff1,110,B01EZV35QU,"Kasa Smart Light Switch HS200, Single Pole, Needs Neutral Wire, 2.4GHz Wi-Fi Light Switch Works with Alexa and Google Home, UL Certified, No Hub Required , White, HS200 White Single Pole",Light Switches,Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Light Switches,5,6291358011,Single Pole Smart Switches,Single Pole Smart Switches,"Smart light switches designed for single pole electrical configurations with Wi-Fi connectivity, e.g. single pole smart switches, basic smart switches",Single Pole Smart Switches,"Smart light switches designed for single pole electrical configurations with Wi-Fi connectivity, e.g. single pole smart switches, basic smart switches",extraction
02e2ecdb5531f77df9161501f1edc51122f99e27,RUN_20250718T063559Z_eff1,117,B08W8GLPD5,"Philips Hue Smart Dimmer Switch with Remote, White - 1 Pack - Turns Hue Lights On, Off, Dims or Brightens - Requires Hue Bridge - Easy, No-Wire Installation Dimmer Switch White 1 Pack",Light Switches,Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Light Switches,5,6291358011,Smart Dimmer Switches,Smart Dimmer Switches,"Smart switches with dimming functionality and remote control capabilities, e.g. smart dimmer switches, wireless dimmer controls",Smart Dimmer Switches,"Smart switches with dimming functionality and remote control capabilities, e.g. smart dimmer switches, wireless dimmer controls",extraction
02e2ecdb5531f77df9161501f1edc51122f99e27,RUN_20250718T063559Z_eff1,112,B07724HNTX,"Kasa Smart 3 Way Switch HS210 KIT, Needs Neutral Wire, 2.4GHz Wi-Fi Light Switch works with Alexa and Google Home, UL Certified, No Hub Required, White,2 Count (Pack of 1) Original Version 2 Pack",Light Switches,Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Light Switches,5,6291358011,Three Way Smart Switches,Three Way Smart Switches,"Smart light switches designed for three-way electrical configurations with Wi-Fi connectivity, e.g. three way smart switches, multi-location smart switches",Three Way Smart Switches,"Smart light switches designed for three-way electrical configurations with Wi-Fi connectivity, e.g. three way smart switches, multi-location smart switches",extraction
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,108,B07HPBP5Q2,"ENERLITES Toggle Light Switch, Single Pole, 15A 120-277V, Grounding Screw, Residential Grade, UL Listed, 88115-W-10PCS, White (10 Pack), 10 Count Switch White 10",Light Switches,Industrial & Scientific > Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Light Switches,5,6291358011,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,156,B08R9S8TDT,"Suraielec Wireless Remote Light Switch, No Wiring, No WiFi, 100ft RF Range, Pre-Programmed, Expandable Wireless Wall Switch and Receiver Kit, Remote Control Light Fixture for Lamp, Ceiling Light, Fan",Light Switches,Industrial & Scientific > Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Light Switches,5,6291358011,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,109,B00004YUO0,"Leviton 15 Amp, 120 Volt, Toggle Framed Single-Pole AC Quiet Switch, Residential Grade, Grounding, 10-Pack, 1451-2WM, White White 10 Pack",Light Switches,Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Light Switches,5,6291358011,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,51,B07HNFWWZV,"ENERLITES Elite Series Decorator Rocker Light Switch, 15A 120V/277V, Gloss Finish, Single Pole, 3 Wire, Grounding Screw, Residential Grade, UL Listed, 91150-GD, Gold Color",Electrical Wall Switches,Electrical Wall Switches,0,unknown,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,118,B017LRCG38,"Lutron Caseta Original Smart Light Switch (Lutron Smart Hub Required), for Home, LED Lights, and Fans, 6 Amp, Single-Pole/3-Way, Neutral Required, PD-6ANS-WH, White White 1 Pack Smart Switch",Light Switches,Industrial & Scientific > Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Light Switches,5,6291358011,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,15,B073H9Y7SH,"Leviton Trimatron Rotary Dimmer Switch for Dimmable LED, Halogen and Incandescent Bulbs, RNL06-10Z, White",Dimmer Switches,Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Dimmer Switches,5,6291358011,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,7,B0D3TBK88B,"Amico 6 Pack Dimmer Light Switch, Single-Pole or 3-Way Slide Dimmer Switches for Led Lights, Suitable for 150W Dimmable LED/CFL Lights and 600W Incandescent/Halogen, Wall Plate Included, White",Dimmer Switches,,0,unknown,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,100,B01MRXOXWB,"BESTTEN 10 Pack Single Pole Decorator Light Switch with Wallplate, 15A 120/277V, Rocker Paddle Wall Switch, On/Off Interrupter for LED and Other Lamps, UL Listed, White Single Pole white 10",Light Switches,Industrial & Scientific > Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Light Switches,5,6291358011,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,4,B094XXG14N,"ELEGRP Digital Dimmer Light Switch for 300W Dimmable LED/CFL Lights and 600W Incandescent/Halogen, Single Pole/3-Way LED Slide Dimmer Light Switch, Wall Plate Included, UL Listed, 10 Pack, Matte White Single-Pole / 3-Way White 10",Dimmer Switches,Industrial & Scientific > Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Dimmer Switches,5,6291358011,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,176,B00004YUO1,"Leviton 5601-2WM 15 Amp, 120/277 Volt, Decora Rocker Single-Pole AC Quiet Switch, Residential Grade, Grounding, 10-Pack, White",Light Switches,,0,unknown,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,12,B08RRM8VH5,"Leviton Decora Smart Dimmer Switch, Wi-Fi 2nd Gen, Neutral Wire Required, Works with Matter, My Leviton, Alexa, Google Assistant, Apple Home/Siri & Wired or Wire-Free 3-Way, D26HD-2RW, White",Dimmer Switches,Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Dimmer Switches,5,6291358011,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,101,B0C86MJLVH,"Leviton Lever Edge 15 Amp Single Pole Rocker Switch, 10-Pack, E5601-MW, White 10 Pack",Light Switches,Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Light Switches,5,6291358011,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,11,B006UTQCA2,"Lutron Ariadni/Toggler LED+ Dimmer Light Switch for Dimmable LED, Halogen and Incandescent Dimmer Switch, 150W, Single-Pole/3-Way, AYCL-153P-WH, White White 1 Pack",Dimmer Switches,Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Dimmer Switches,5,6291358011,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,180,B0C86LDZLW,"Leviton E5603-MW Decora Edge 15 Amp 3-Way Rocker Switch, 10-Pack, White",Light Switches,,0,unknown,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,84,B0BYPDKCD5,"Lutron Caseta Smart Claro Accessory Switch for 3 way  For use only with Diva Smart Dimmer or Claro Smart Switch, DVRF-AS-WH, White White Pack of 1",Dimmer Switches,Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Dimmer Switches,5,6291358011,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,277,B0BSHKS26L,"Lutron Diva Smart Dimmer Switch for Caseta Smart Lighting (Lutron Smart Hub Required) w/ Wall Plate, for LED Lights, 150 Watt, Single-Pole/3Way, No Neutral Required, DVRFW-6L-WH-A, White White 1 Pack Diva Smart Dimmer Switch w/Wallplate",Dimmer Switches,Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Dimmer Switches,5,6291358011,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,122,B002DN8CQ6,"GE 3-Way Grounding Toggle Switch, In Wall On/Off Fan & Light Switch Replacement, 15 Amp, Great for Home, Office & Kitchen, UL Listed, White, 54172 White 1 Pack Standard",Light Switches,Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Light Switches,5,6291358011,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,171,B01N25GTMW,"ENERLITES 3-Way Decorator Paddle Rocker Light Switch, Gloss Finish, Single Pole or Three Way, 3 Wire, Grounding Screw, Residential Grade, 15A 120V/277V, UL Listed, 93150-W-10PCS, White (10 Pack) Wall Plate Not Included White 10",Light Switches,Industrial & Scientific > Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Light Switches,5,6291358011,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,131,B003AVLWGM,"Leviton 5634-W 15 Amp, 120/277 Volt, Decora Single-Pole, AC Combination Switch, Commercial Grade, Grounding, White",Light Switches,Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Light Switches,5,6291358011,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,16,B07GNXMVFP,"BESTTEN 6 Pack Dimmer Light Switch, LED Dimmer Switch, Single-Pole or 3-Way, for Dimmable LED, Halogen and Incandescent Bulbs, 120V, Wall Plate Included, UL Listed, White Standard White 6",Dimmer Switches,Industrial & Scientific > Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Dimmer Switches,5,6291358011,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,2,B099RJ2HRN,"ELEGRP Digital Dimmer Light Switch for 300W Dimmable LED/CFL Lights and 600W Incandescent/Halogen, Single Pole/3-Way LED Slide Dimmer, Wall Plate Included, UL Listed, 6 Pack, Matte White Single-Pole / 3-Way White 6",Dimmer Switches,Industrial & Scientific > Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Dimmer Switches,5,6291358011,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,175,B000BQUUVC,"Legrand radiant TM873WCC10 15 Amp Rocker Wall Switch, 3-Way Decorator Light Switches, White (1 Count) 3-Way 1 Pack White",Light Switches,Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Light Switches,5,6291358011,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,120,B07X47W6LC,"BESTTEN 10 Pack Single Pole Decorator Wall Light Switch, 15A 120/277V, Paddle Light Switch, On/Off Rocker Interrupter, UL Listed, White",Light Switches,,0,unknown,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,89,B0CHMQW45X,"TREATLIFE Dimmer Plug with 100FT Wireless Remote Control, IP44 Weather Resistance, Outdoor Dimmer for String Lights, Lamps, Patio Lights, Max Power 400W",Dimmer Switches,Industrial & Scientific > Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Dimmer Switches,5,6291358011,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,115,B07HM6L48C,"Lutron Caseta 3 Way Smart Dimmer Light Switch Kit, Includes Pico Remote, Bracket, and LED Dimmer Switch, No Neutral Required, P-PKG1WB-WH White 1 Pack Caseta Dimmer Switch 3-Way Kit",Light Switches,Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Light Switches,5,6291358011,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,106,B00QXOSTFU,"ENERLITES Decorator Paddle Rocker Light Switch, Gloss Finish, Single Pole, 3 Wire, Grounding Screw, Residential Grade, 15A 120V/277V, UL Listed, 91150-W-10PCS, White (10 Pack)",Light Switches,,0,unknown,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,189,B093PWTTHC,"ELEGRP Decorator Double Rocker Light Switch, Two Single Pole Electrical Paddle, 15A 120V, in-Wall On/Off, Self-Grounding, Wall Plate Included, UL Listed (1 Pack, Glossy White) Screw Wall Plate Included White 1",Light Switches,Industrial & Scientific > Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Light Switches,5,6291358011,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
2249ed7a-8a79-4164-9a9f-a3078ed2c058,RUN_20250627T094801Z_3a52,237,B0039PZJJK,"Leviton 5621-2W 20 Amp, 120/277 Volt Decora Plus Rocker Single-Pole AC Quiet Switch, White White Leviton",Light Switches,Tools & Home Improvement > Electrical > Switches & Dimmers > Wall Switches > Light Switches,5,6291358011,,__UNASSIGNED__,Auto-generated placeholder,__UNASSIGNED__,Auto-generated placeholder,init
