date,estimated_units_sold,last_known_price
2024-07-19,368,17.76
2024-07-20,312,17.75
2024-07-21,332,17.74
2024-07-22,157,17.74
2024-07-23,155,17.74
2024-07-24,141,18.19
2024-07-25,129,18.19
2024-07-26,109,17.76
2024-07-27,107,17.75
2024-07-28,114,17.74
2024-07-29,113,17.74
2024-07-30,141,17.73
2024-07-31,128,17.73
2024-08-01,137,17.74
2024-08-02,134,17.76
2024-08-03,122,17.75
2024-08-04,122,17.73
2024-08-05,129,17.73
2024-08-06,144,17.73
2024-08-07,125,17.73
2024-08-08,128,17.73
2024-08-09,128,17.76
2024-08-10,136,17.75
2024-08-11,146,17.73
2024-08-12,144,17.73
2024-08-13,141,17.73
2024-08-14,149,17.73
2024-08-15,156,17.73
2024-08-16,141,17.76
2024-08-17,134,17.75
2024-08-18,156,17.73
2024-08-19,147,17.74
2024-08-20,132,17.74
2024-08-21,132,17.74
2024-08-22,130,17.74
2024-08-23,139,17.78
2024-08-24,150,17.76
2024-08-25,150,17.75
2024-08-26,140,17.75
2024-08-27,131,17.75
2024-08-28,148,17.75
2024-08-29,139,17.78
2024-08-30,139,17.78
2024-08-31,135,17.76
2024-09-01,149,17.75
2024-09-02,139,17.74
2024-09-03,148,17.74
2024-09-04,148,17.74
2024-09-05,146,17.74
2024-09-06,157,17.76
2024-09-07,166,17.66
2024-09-08,153,17.62
2024-09-09,156,17.6
2024-09-10,151,17.59
2024-09-11,165,17.58
2024-09-12,141,17.56
2024-09-13,142,17.76
2024-09-14,165,17.75
2024-09-15,165,17.74
2024-09-16,153,17.74
2024-09-17,160,17.74
2024-09-18,161,17.74
2024-09-19,156,17.74
2024-09-20,136,17.76
2024-09-21,142,17.75
2024-09-22,156,17.74
2024-09-23,161,17.74
2024-09-24,157,17.74
2024-09-25,162,17.74
2024-09-26,159,17.74
2024-09-27,153,17.95
2024-09-28,151,17.94
2024-09-29,166,17.93
2024-09-30,157,17.93
2024-10-01,161,17.93
2024-10-02,157,17.93
2024-10-03,151,17.93
2024-10-04,138,17.97
2024-10-05,143,17.95
2024-10-06,129,17.94
2024-10-07,259,18.08
2024-10-08,343,18.08
2024-10-09,376,18.08
2024-10-10,404,18.08
2024-10-11,382,18.08
2024-10-12,316,18.08
2024-10-13,351,18.08
2024-10-14,192,18.08
2024-10-15,183,18.08
2024-10-16,190,18.08
2024-10-17,188,18.08
2024-10-18,190,18.08
2024-10-19,198,18.08
2024-10-20,182,18.08
2024-10-21,191,18.18
2024-10-22,185,18.57
2024-10-23,175,18.57
2024-10-24,157,19.41
2024-10-25,163,16.42
2024-10-26,184,16.41
2024-10-27,169,16.4
2024-10-28,192,16.4
2024-10-29,203,16.4
2024-10-30,238,16.4
2024-10-31,240,16.4
2024-11-01,230,16.43
2024-11-02,217,16.42
2024-11-03,208,16.41
2024-11-04,239,16.41
2024-11-05,263,19.98
2024-11-06,217,19.98
2024-11-07,189,19.98
2024-11-08,175,19.98
2024-11-09,162,19.98
2024-11-10,174,19.98
2024-11-11,184,19.98
2024-11-12,187,19.98
2024-11-13,181,19.98
2024-11-14,167,19.98
2024-11-15,170,19.98
2024-11-16,158,19.98
2024-11-17,156,19.98
2024-11-18,203,14.99
2024-11-19,280,14.99
2024-11-20,343,14.99
2024-11-21,326,14.99
2024-11-22,324,14.99
2024-11-23,334,14.99
2024-11-24,331,14.99
2024-11-25,364,14.99
2024-11-26,337,18.15
2024-11-27,251,25.75
2024-11-28,184,25.75
2024-11-29,124,25.74
2024-11-30,78,25.74
2024-12-01,79,25.75
2024-12-02,63,25.74
2024-12-03,51,18.95
2024-12-04,62,19.98
2024-12-05,88,19.98
2024-12-06,122,19.98
2024-12-07,155,19.98
2024-12-08,170,19.98
2024-12-09,158,19.98
2024-12-10,154,19.98
2024-12-11,156,19.98
2024-12-12,146,19.98
2024-12-13,143,19.98
2024-12-14,141,19.98
2024-12-15,151,19.98
2024-12-16,124,19.98
2024-12-17,122,19.98
2024-12-18,125,19.98
2024-12-19,129,19.98
2024-12-20,141,19.98
2024-12-21,143,19.98
2024-12-22,152,19.98
2024-12-23,106,19.98
2024-12-24,117,19.98
2024-12-25,130,19.98
2024-12-26,131,19.98
2024-12-27,139,19.98
2024-12-28,151,19.98
2024-12-29,180,19.98
2024-12-30,162,19.98
2024-12-31,181,19.98
2025-01-01,165,19.98
2025-01-02,152,19.98
2025-01-03,159,19.98
2025-01-04,161,19.98
2025-01-05,172,19.98
2025-01-06,190,19.98
2025-01-07,185,19.98
2025-01-08,194,19.98
2025-01-09,172,19.98
2025-01-10,162,19.98
2025-01-11,164,19.98
