date,estimated_units_sold,last_known_price
2024-07-19,167,12.82
2024-07-20,143,12.9
2024-07-21,143,12.9
2024-07-22,65,12.91
2024-07-23,67,12.93
2024-07-24,63,12.93
2024-07-25,63,12.88
2024-07-26,67,12.92
2024-07-27,54,12.88
2024-07-28,51,12.9
2024-07-29,54,12.9
2024-07-30,55,12.9
2024-07-31,51,12.9
2024-08-01,50,12.9
2024-08-02,60,12.89
2024-08-03,64,12.88
2024-08-04,63,12.87
2024-08-05,75,12.87
2024-08-06,63,12.87
2024-08-07,61,12.88
2024-08-08,62,12.86
2024-08-09,62,13.04
2024-08-10,55,13.95
2024-08-11,56,13.95
2024-08-12,60,13.05
2024-08-13,68,13.1
2024-08-14,70,13.1
2024-08-15,67,12.98
2024-08-16,71,12.97
2024-08-17,74,12.97
2024-08-18,68,13.03
2024-08-19,66,12.99
2024-08-20,72,12.98
2024-08-21,72,13.09
2024-08-22,63,12.97
2024-08-23,67,12.99
2024-08-24,63,12.97
2024-08-25,74,12.98
2024-08-26,71,13.02
2024-08-27,68,13.01
2024-08-28,71,12.97
2024-08-29,75,13
2024-08-30,67,12.93
2024-08-31,58,12.93
2024-09-01,78,13.02
2024-09-02,65,12.93
2024-09-03,71,12.94
2024-09-04,85,12.96
2024-09-05,64,12.86
2024-09-06,65,13.18
2024-09-07,58,10.25
2024-09-08,62,10.25
2024-09-09,54,10.25
2024-09-10,55,10.25
2024-09-11,69,10.25
2024-09-12,65,10.25
2024-09-13,64,10.25
2024-09-14,61,10.25
2024-09-15,55,10.25
2024-09-16,46,10.25
2024-09-17,47,10.25
2024-09-18,46,13.45
2024-09-19,46,13.63
2024-09-20,50,13.64
2024-09-21,53,13.64
2024-09-22,76,13.64
2024-09-23,59,13.71
2024-09-24,65,11.49
2024-09-25,68,11.49
2024-09-26,70,11.49
2024-09-27,68,11.49
2024-09-28,73,11.49
2024-09-29,86,11.49
2024-09-30,85,10.25
2024-10-01,88,11.49
2024-10-02,80,11.49
2024-10-03,87,11.49
2024-10-04,86,11.49
2024-10-05,87,11.49
2024-10-06,82,11.49
2024-10-07,134,11.49
2024-10-08,126,11.49
2024-10-09,133,11.49
2024-10-10,124,11.49
2024-10-11,113,11.49
2024-10-12,104,11.49
2024-10-13,116,11.49
