date,estimated_units_sold,last_known_price
2024-07-19,185,25.74
2024-07-20,158,26.13
2024-07-21,125,26.02
2024-07-22,62,26.01
2024-07-23,59,26.01
2024-07-24,59,26
2024-07-25,52,26.03
2024-07-26,44,23.94
2024-07-27,47,23.96
2024-07-28,59,23.96
2024-07-29,60,23.96
2024-07-30,69,23.96
2024-07-31,59,23.96
2024-08-01,58,23.96
2024-08-02,51,19.29
2024-08-03,68,19.28
2024-08-04,74,19.27
2024-08-05,88,25.56
2024-08-06,60,25.55
2024-08-07,63,25.55
2024-08-08,63,25.46
2024-08-09,63,25.48
2024-08-10,49,25.4
2024-08-11,60,25.15
2024-08-12,59,25.47
2024-08-13,70,24.8
2024-08-14,60,25.23
2024-08-15,64,24.8
2024-08-16,62,24.8
2024-08-17,66,24.8
2024-08-18,68,24.8
2024-08-19,66,24.8
2024-08-20,63,24.8
2024-08-21,63,24.8
2024-08-22,64,24.8
2024-08-23,82,24.8
2024-08-24,78,24.8
2024-08-25,75,24.8
2024-08-26,70,23.55
2024-08-27,71,24.72
2024-08-28,75,24.66
2024-08-29,70,24.66
2024-08-30,88,24.66
2024-08-31,87,24.66
2024-09-01,78,24.8
2024-09-02,87,24.8
2024-09-03,78,25.4
2024-09-04,77,25.42
2024-09-05,75,24.21
2024-09-06,85,25.61
2024-09-07,71,24.3
2024-09-08,74,24.24
2024-09-09,76,24.11
2024-09-10,74,24.24
2024-09-11,75,23.55
2024-09-12,73,23.55
2024-09-13,80,23.88
2024-09-14,75,23.55
2024-09-15,78,23.55
2024-09-16,81,23.55
2024-09-17,78,23.81
2024-09-18,81,23.55
2024-09-19,83,23.55
2024-09-20,88,23.63
2024-09-21,78,23.55
2024-09-22,85,23.45
2024-09-23,89,23.45
2024-09-24,85,22.69
2024-09-25,90,21.33
2024-09-26,99,22.77
2024-09-27,86,23.61
2024-09-28,82,23.25
2024-09-29,94,23.12
2024-09-30,94,23.85
2024-10-01,94,23.42
2024-10-02,90,23.38
2024-10-03,87,23.01
2024-10-04,88,23.86
2024-10-05,89,23.62
2024-10-06,83,23.37
2024-10-07,130,22.99
2024-10-08,198,21.91
2024-10-09,210,21.15
2024-10-10,242,23.06
2024-10-11,210,23.06
2024-10-12,186,22.99
2024-10-13,168,22.99
2024-10-14,102,23.85
2024-10-15,95,25.47
2024-10-16,87,23.74
2024-10-17,92,24.21
2024-10-18,80,25.21
2024-10-19,72,24.24
2024-10-20,87,24.57
2024-10-21,81,23.5
2024-10-22,74,24.7
2024-10-23,64,24.4
2024-10-24,70,24.66
2024-10-25,70,23.5
2024-10-26,66,25.45
2024-10-27,59,24.22
2024-10-28,80,23.13
2024-10-29,88,22.77
2024-10-30,82,23.71
2024-10-31,74,23.27
2024-11-01,73,23.8
2024-11-02,76,24.78
2024-11-03,88,24.38
2024-11-04,79,23.96
2024-11-05,73,23.95
2024-11-06,78,24.78
2024-11-07,76,24.85
2024-11-08,90,21.46
2024-11-09,80,21.46
2024-11-10,99,21.46
2024-11-11,119,21.46
2024-11-12,130,24.68
2024-11-13,118,22.29
2024-11-14,111,24.8
2024-11-15,99,25.06
2024-11-16,98,25.06
2024-11-17,90,24.99
2024-11-18,115,19.77
2024-11-19,164,19.77
2024-11-20,188,19.77
2024-11-21,176,19.77
2024-11-22,175,19.77
2024-11-23,186,19.77
2024-11-24,181,19.77
2024-11-25,216,19.77
2024-11-26,225,19.77
2024-11-27,226,19.77
2024-11-28,231,19.77
2024-11-29,208,19.77
2024-11-30,191,19.77
2024-12-01,192,19.77
2024-12-02,188,19.77
2024-12-03,171,21.67
2024-12-04,148,25.01
2024-12-05,135,25.06
2024-12-06,130,25.06
2024-12-07,119,25.06
2024-12-08,119,24.99
2024-12-09,93,23.24
2024-12-10,116,25.06
2024-12-11,97,25.06
2024-12-12,90,25.06
2024-12-13,85,25.06
2024-12-14,85,25.06
2024-12-15,77,21.47
2024-12-16,67,24.78
2024-12-17,69,24.78
2024-12-18,70,24.92
2024-12-19,80,22.36
2024-12-20,84,22.38
2024-12-21,80,24.78
2024-12-22,91,24.78
2024-12-23,71,24.78
2024-12-24,75,24.78
2024-12-25,83,24.78
2024-12-26,75,24.85
2024-12-27,70,22.03
2024-12-28,74,24.98
2024-12-29,64,25.05
2024-12-30,81,24.96
2024-12-31,81,24.95
2025-01-01,72,24.74
2025-01-02,87,24.86
2025-01-03,74,24.71
2025-01-04,69,25.06
2025-01-05,87,25.01
2025-01-06,92,24.92
2025-01-07,76,24.93
2025-01-08,94,24.81
2025-01-09,84,24.89
2025-01-10,82,25.02
2025-01-11,78,25.06
2025-01-12,71,24.93
2025-01-13,73,24.96
2025-01-14,74,24.9
2025-01-15,68,24.82
2025-01-16,77,25.06
2025-01-17,78,24.89
2025-01-18,75,24.8
2025-01-19,76,24.92
2025-01-20,85,18.73
2025-01-21,84,24.78
2025-01-22,71,25.03
2025-01-23,76,24.88
2025-01-24,79,25.07
2025-01-25,76,24.95
2025-01-26,81,24.8
2025-01-27,81,24.78
2025-01-28,91,25.03
2025-01-29,84,25.07
2025-01-30,72,25.07
2025-01-31,75,25.03
