date,estimated_units_sold,last_known_price
2024-07-19,127,19.9
2024-07-20,108,19.9
2024-07-21,105,19.9
2024-07-22,50,19.9
2024-07-23,45,19.9
2024-07-24,55,19.9
2024-07-25,45,19.9
2024-07-26,43,19.9
2024-07-27,41,19.9
2024-07-28,40,19.9
2024-07-29,45,19.9
2024-07-30,49,19.9
2024-07-31,35,19.9
2024-08-01,43,19.9
2024-08-02,40,19.9
2024-08-03,34,19.9
2024-08-04,45,19.9
2024-08-05,38,19.9
2024-08-06,48,19.9
2024-08-07,48,19.9
2024-08-08,48,19.9
2024-08-09,48,19.9
2024-08-10,48,19.9
2024-08-11,61,19.9
2024-08-12,59,19.9
2024-08-13,56,19.9
2024-08-14,60,19.9
2024-08-15,52,19.9
2024-08-16,51,19.9
2024-08-17,54,19.9
2024-08-18,60,19.9
2024-08-19,58,19.9
2024-08-20,54,19.9
2024-08-21,54,19.9
2024-08-22,56,19.9
2024-08-23,55,19.9
2024-08-24,51,19.9
2024-08-25,44,19.9
2024-08-26,55,19.9
2024-08-27,55,19.9
2024-08-28,55,19.9
2024-08-29,61,19.9
2024-08-30,65,19.9
2024-08-31,62,19.9
2024-09-01,56,19.9
2024-09-02,53,19.9
2024-09-03,57,19.9
2024-09-04,58,19.9
2024-09-05,54,19.9
2024-09-06,65,19.9
2024-09-07,56,19.9
2024-09-08,61,19.9
2024-09-09,49,19.9
2024-09-10,43,19.9
2024-09-11,55,19.9
2024-09-12,48,19.9
2024-09-13,39,21.4
2024-09-14,33,22.66
2024-09-15,28,22.64
2024-09-16,29,22.68
2024-09-17,35,22.65
2024-09-18,37,22.68
2024-09-19,39,22.68
2024-09-20,34,22.68
2024-09-21,29,22.68
2024-09-22,22,22.68
2024-09-23,29,22.68
2024-09-24,30,22.68
2024-09-25,40,22.68
2024-09-26,35,22.68
2024-09-27,37,22.68
2024-09-28,39,22.68
2024-09-29,41,22.68
2024-09-30,38,22.66
2024-10-01,28,22.68
2024-10-02,41,22.68
