date,estimated_units_sold,last_known_price
2024-07-19,17,14.99
2024-07-20,16,14.99
2024-07-21,18,14.99
2024-07-22,12,14.99
2024-07-23,10,15
2024-07-24,14,15
2024-07-25,15,15
2024-07-26,11,15
2024-07-27,10,15
2024-07-28,15,15
2024-07-29,14,15
2024-07-30,15,14.99
2024-07-31,17,14.99
2024-08-01,14,14.99
2024-08-02,11,14.99
2024-08-03,15,14.99
2024-08-04,15,14.99
2024-08-05,15,14.99
2024-08-06,14,14.99
2024-08-07,13,14.99
2024-08-08,14,14.99
2024-08-09,14,14.99
2024-08-10,13,14.99
2024-08-11,16,14.99
2024-08-12,19,14.99
2024-08-13,19,14.99
2024-08-14,12,14.99
2024-08-15,13,15
2024-08-16,16,15
2024-08-17,13,15
2024-08-18,15,15
2024-08-19,17,15
2024-08-20,14,14.99
2024-08-21,12,14.99
2024-08-22,15,14.99
2024-08-23,15,14.99
2024-08-24,16,15
2024-08-25,17,14.99
2024-08-26,25,14.99
2024-08-27,19,15
2024-08-28,16,15
2024-08-29,14,15
2024-08-30,12,15
2024-08-31,12,15
2024-09-01,15,15
2024-09-02,12,15
2024-09-03,16,15
2024-09-04,15,15
2024-09-05,14,15
2024-09-06,10,15
2024-09-07,19,15
2024-09-08,15,15
2024-09-09,16,15
2024-09-10,18,15
2024-09-11,21,15
2024-09-12,16,15
2024-09-13,16,15
2024-09-14,13,15
2024-09-15,14,15
2024-09-16,17,15
2024-09-17,19,15
2024-09-18,14,15
2024-09-19,20,15
2024-09-20,20,15
2024-09-21,13,15
2024-09-22,14,15
2024-09-23,16,15
2024-09-24,19,14.99
2024-09-25,14,14.99
2024-09-26,17,14.99
2024-09-27,15,14.99
2024-09-28,11,14.99
2024-09-29,15,14.99
2024-09-30,15,14.99
2024-10-01,22,14.99
2024-10-02,17,14.99
2024-10-03,15,14.99
2024-10-04,16,14.99
2024-10-05,18,14.99
2024-10-06,17,14.99
2024-10-07,17,14.99
2024-10-08,12,14.99
2024-10-09,18,15
2024-10-10,15,15
2024-10-11,14,15
2024-10-12,13,15
2024-10-13,22,15
2024-10-14,14,15
2024-10-15,11,15
2024-10-16,18,15
2024-10-17,16,15
2024-10-18,12,15
2024-10-19,17,15
2024-10-20,20,15
2024-10-21,15,15
2024-10-22,16,15
2024-10-23,18,15
2024-10-24,13,15
2024-10-25,15,15
2024-10-26,14,15
2024-10-27,16,15
2024-10-28,19,15
2024-10-29,20,15
2024-10-30,16,15
2024-10-31,18,13.49
2024-11-01,18,13.49
2024-11-02,19,14.99
2024-11-03,14,14.99
2024-11-04,26,15
2024-11-05,31,13.87
2024-11-06,20,13.89
2024-11-07,20,14.99
2024-11-08,17,13.49
2024-11-09,14,13.49
2024-11-10,25,13.49
2024-11-11,23,13.49
2024-11-12,15,13.49
2024-11-13,15,13.49
2024-11-14,16,13.49
2024-11-15,21,13.49
2024-11-16,19,15
2024-11-17,25,15
2024-11-18,29,15
2024-11-19,22,15
2024-11-20,20,15
2024-11-21,22,15
2024-11-22,22,13.49
2024-11-23,22,13.49
2024-11-24,18,13.49
2024-11-25,27,13.49
2024-11-26,25,13.49
2024-11-27,24,13.49
2024-11-28,18,13.49
2024-11-29,15,13.49
2024-11-30,13,13.49
2024-12-01,11,13.49
2024-12-02,14,13.49
2024-12-03,12,13.49
2024-12-04,11,13.49
2024-12-05,13,13.49
2024-12-06,10,13.49
2024-12-07,10,15
2024-12-08,15,15
2024-12-09,16,15
2024-12-10,14,15
2024-12-11,11,13.81
2024-12-12,14,14.83
2024-12-13,14,14.82
2024-12-14,18,14.82
2024-12-15,15,15
2024-12-16,15,13.49
2024-12-17,16,13.74
2024-12-18,16,13.73
2024-12-19,16,15
2024-12-20,8,15
2024-12-21,11,15
2024-12-22,15,13.49
2024-12-23,8,13.49
2024-12-24,13,14.86
2024-12-25,10,14.86
2024-12-26,12,14.86
2024-12-27,10,14.72
2024-12-28,9,14.71
2024-12-29,15,14.52
2024-12-30,17,14.52
2024-12-31,15,15
2025-01-01,14,15
2025-01-02,17,15
2025-01-03,18,15
2025-01-04,17,15
2025-01-05,12,15
2025-01-06,10,15
2025-01-07,12,15
2025-01-08,9,15
2025-01-09,13,15
2025-01-10,11,15
2025-01-11,8,15
2025-01-12,17,15
2025-01-13,18,15
2025-01-14,11,15
2025-01-15,15,15
2025-01-16,13,13.49
2025-01-17,14,13.49
2025-01-18,13,13.49
2025-01-19,18,13.49
2025-01-20,13,13.49
2025-01-21,16,15
2025-01-22,11,15
2025-01-23,10,15
2025-01-24,10,15
2025-01-25,12,15
2025-01-26,11,15
2025-01-27,20,15
2025-01-28,14,15
2025-01-29,17,15
2025-01-30,18,15
2025-01-31,15,15
2025-02-01,13,15
2025-02-02,14,15
2025-02-03,22,15
2025-02-04,17,15
2025-02-05,15,15
2025-02-06,13,15
2025-02-07,14,15
2025-02-08,13,15
2025-02-09,19,15
2025-02-10,15,15
2025-02-11,11,15
2025-02-12,13,15
2025-02-13,10,15
2025-02-14,9,15
2025-02-15,13,15
2025-02-16,10,14.45
2025-02-17,13,14.45
2025-02-18,11,14.45
2025-02-19,11,14.45
2025-02-20,10,14.45
2025-02-21,11,14.45
2025-02-22,10,14.45
2025-02-23,11,14.45
2025-02-24,9,14.39
2025-02-25,9,14.39
2025-02-26,9,14.39
2025-02-27,6,14.39
2025-02-28,6,14.39
2025-03-01,4,14.39
2025-03-02,5,14.39
2025-03-03,6,14.39
2025-03-04,7,14.39
2025-03-05,4,14.39
2025-03-06,3,14.39
2025-03-07,4,14.39
2025-03-08,4,14.02
2025-03-09,9,13.95
2025-03-10,10,13.09
2025-03-11,4,13.09
2025-03-12,13,13.09
2025-03-13,13,13.09
2025-03-14,12,13.09
2025-03-15,10,13.09
2025-03-16,9,13.09
2025-03-17,9,13.09
2025-03-18,12,12.3
2025-03-19,12,12.3
2025-03-20,13,12.3
2025-03-21,13,12.3
2025-03-22,11,12.3
2025-03-23,14,12.3
2025-03-24,11,12.3
2025-03-25,12,14.97
2025-03-26,13,14.97
2025-03-27,10,14.97
2025-03-28,8,14.89
2025-03-29,9,14.88
2025-03-30,9,14.87
2025-03-31,7,14.85
2025-04-01,10,14.86
2025-04-02,10,14.87
2025-04-03,6,14.87
2025-04-04,8,14.89
2025-04-05,7,14.88
2025-04-06,6,14.97
2025-04-07,7,14.42
2025-04-08,5,14.87
2025-04-09,8,14.87
2025-04-10,10,14.97
2025-04-11,9,14.89
2025-04-12,8,13.49
2025-04-13,7,13.49
2025-04-14,7,13.49
2025-04-15,6,13.49
2025-04-16,5,13.49
2025-04-17,11,13.49
2025-04-18,7,13.49
2025-04-19,7,13.49
2025-04-20,9,13.49
2025-04-21,8,13.49
2025-04-22,5,13.49
2025-04-23,8,14.87
2025-04-24,5,14.87
2025-04-25,5,14.89
2025-04-26,7,14.88
2025-04-27,6,13.99
2025-04-28,5,13.99
2025-04-29,4,13.99
2025-04-30,8,13.99
2025-05-01,8,13.99
2025-05-02,6,13.99
2025-05-03,5,13.99
2025-05-04,4,13.99
2025-05-05,5,13.99
2025-05-06,5,13.99
2025-05-07,9,13.99
2025-05-08,10,13.98
2025-05-09,7,13.98
2025-05-10,10,13.98
2025-05-11,7,13.98
2025-05-12,10,13.98
2025-05-13,9,13.98
2025-05-14,11,13.98
2025-05-15,11,13.98
2025-05-16,8,13.98
2025-05-17,8,13.98
2025-05-18,8,13.98
2025-05-19,9,13.98
2025-05-20,10,13.98
2025-05-21,10,13.98
2025-05-22,11,13.98
2025-05-23,11,13.98
2025-05-24,12,13.98
2025-05-25,11,13.98
2025-05-26,11,13.98
2025-05-27,10,13.98
2025-05-28,10,13.98
2025-05-29,10,13.98
2025-05-30,10,13.98
2025-05-31,10,13.98
2025-06-01,11,13.98
2025-06-02,11,13.98
2025-06-03,12,13.98
2025-06-04,12,13.98
2025-06-05,14,13.98
2025-06-06,15,13.98
2025-06-07,14,13.98
2025-06-08,13,13.98
2025-06-09,11,13.98
2025-06-10,10,13.98
2025-06-11,11,13.98
2025-06-12,11,13.98
2025-06-13,12,13.98
2025-06-14,12,13.98
2025-06-15,12,13.98
2025-06-16,12,13.98
2025-06-17,13,13.99
2025-06-18,13,14
2025-06-19,14,14
2025-06-20,14,14
2025-06-21,13,14
2025-06-22,14,14
2025-06-23,14,14
2025-06-24,12,14
2025-06-25,12,14
2025-06-26,12,14
2025-06-27,12,14
2025-06-28,12,14
2025-06-29,11,14
2025-06-30,11,14
2025-07-01,10,14
2025-07-02,10,14
2025-07-03,9,14
2025-07-04,11,14
2025-07-05,10,14
2025-07-06,9,14
2025-07-07,9,14
2025-07-08,10,14
2025-07-09,8,14
2025-07-10,7,13.99
2025-07-11,8,14
2025-07-12,8,14
2025-07-13,8,14
2025-07-14,8,14
2025-07-15,9,14
2025-07-16,12,14
2025-07-17,10,14
2025-07-18,10,13.99
2025-07-19,10,13.99
