date,estimated_units_sold,last_known_price
2024-07-19,102,2.47
2024-07-20,108,2.47
2024-07-21,146,2.47
2024-07-22,71,2.47
2024-07-23,81,2.47
2024-07-24,73,2.47
2024-07-25,76,2.47
2024-07-26,89,2.47
2024-07-27,85,2.47
2024-07-28,93,2.47
2024-07-29,92,2.47
2024-07-30,89,2.47
2024-07-31,95,2.47
2024-08-01,90,2.47
2024-08-02,77,2.47
2024-08-03,82,2.47
2024-08-04,88,2.47
2024-08-05,78,2.47
2024-08-06,65,2.47
2024-08-07,62,2.47
2024-08-08,63,2.47
2024-08-09,63,2.47
2024-08-10,71,2.47
2024-08-11,89,2.47
2024-08-12,92,2.47
2024-08-13,99,2.47
2024-08-14,96,2.47
2024-08-15,83,2.47
2024-08-16,92,2.47
2024-08-17,74,2.47
2024-08-18,76,2.47
2024-08-19,92,2.47
2024-08-20,79,2.47
2024-08-21,79,2.47
2024-08-22,86,2.47
2024-08-23,83,2.47
2024-08-24,84,2.47
2024-08-25,85,2.47
2024-08-26,85,2.47
2024-08-27,84,2.47
2024-08-28,86,2.47
2024-08-29,91,2.47
2024-08-30,78,2.47
2024-08-31,83,2.47
2024-09-01,89,2.47
2024-09-02,95,2.47
2024-09-03,93,2.47
2024-09-04,78,2.47
2024-09-05,84,2.47
2024-09-06,84,2.47
2024-09-07,79,2.47
2024-09-08,90,2.47
2024-09-09,82,4.88
2024-09-10,77,4.88
2024-09-11,65,6.86
2024-09-12,65,6.86
2024-09-13,54,6.86
2024-09-14,60,6.86
2024-09-15,55,6.86
2024-09-16,54,6.86
2024-09-17,54,6.86
2024-09-18,61,6.86
2024-09-19,59,6.86
2024-09-20,68,6.86
2024-09-21,71,6.86
2024-09-22,66,6.86
2024-09-23,72,6.86
2024-09-24,75,6.86
2024-09-25,81,6.86
2024-09-26,73,6.86
2024-09-27,69,6.86
2024-09-28,62,6.86
2024-09-29,63,6.86
2024-09-30,61,6.86
2024-10-01,63,6.74
2024-10-02,55,6.74
2024-10-03,60,6.74
2024-10-04,59,6.74
2024-10-05,52,6.74
2024-10-06,60,6.74
2024-10-07,91,6.74
2024-10-08,65,6.74
2024-10-09,58,6.74
2024-10-10,62,6.74
2024-10-11,70,6.74
2024-10-12,81,6.74
2024-10-13,96,6.74
2024-10-14,65,6.74
2024-10-15,66,6.74
2024-10-16,60,6.74
2024-10-17,70,6.74
2024-10-18,76,6.74
2024-10-19,65,6.74
2024-10-20,68,6.74
2024-10-21,67,6.74
2024-10-22,70,6.74
2024-10-23,67,6.72
2024-10-24,69,6.65
2024-10-25,72,6.64
2024-10-26,70,6.64
2024-10-27,68,6.63
2024-10-28,78,6.64
2024-10-29,66,6.74
2024-10-30,70,6.74
2024-10-31,73,6.74
2024-11-01,71,6.74
2024-11-02,71,6.74
2024-11-03,69,6.74
2024-11-04,76,6.98
2024-11-05,73,7
2024-11-06,74,7
2024-11-07,68,7
2024-11-08,69,7
2024-11-09,61,6.92
2024-11-10,65,6.92
2024-11-11,92,6.72
2024-11-12,87,6.72
2024-11-13,97,6.72
2024-11-14,87,6.69
2024-11-15,78,6.92
2024-11-16,67,6.87
2024-11-17,71,6.87
2024-11-18,73,6.86
2024-11-19,78,6.85
2024-11-20,76,6.84
2024-11-21,64,6.83
2024-11-22,68,6.82
2024-11-23,71,6.84
2024-11-24,62,6.87
2024-11-25,87,6.85
2024-11-26,85,6.91
2024-11-27,81,6.9
2024-11-28,75,6.89
2024-11-29,56,6.81
2024-11-30,49,6.99
2024-12-01,55,6.99
2024-12-02,55,6.99
2024-12-03,47,7.02
2024-12-04,58,6.92
2024-12-05,55,6.92
2024-12-06,67,6.85
2024-12-07,68,6.85
2024-12-08,61,6.85
2024-12-09,54,6.85
2024-12-10,59,7
2024-12-11,55,6.96
2024-12-12,54,7
2024-12-13,48,7
2024-12-14,56,7
2024-12-15,50,6.99
2024-12-16,50,7
2024-12-17,50,6.99
2024-12-18,45,6.98
2024-12-19,58,6.99
2024-12-20,53,6.67
2024-12-21,43,7
2024-12-22,55,7
2024-12-23,44,7
2024-12-24,44,7
2024-12-25,46,6.66
2024-12-26,44,7
2024-12-27,37,6.18
2024-12-28,52,6.13
2024-12-29,55,5.39
2024-12-30,75,5.03
2024-12-31,73,5.03
2025-01-01,71,5.03
2025-01-02,71,5.03
2025-01-03,68,5.03
2025-01-04,78,5.03
2025-01-05,84,5.03
2025-01-06,73,5.03
2025-01-07,71,5.03
2025-01-08,75,5.03
2025-01-09,78,5.03
2025-01-10,78,5.03
2025-01-11,84,5.03
2025-01-12,74,5.59
2025-01-13,87,6.95
2025-01-14,79,7
2025-01-15,65,7
2025-01-16,77,7
2025-01-17,75,7
2025-01-18,66,7
2025-01-19,72,7
2025-01-20,59,7
2025-01-21,69,7
2025-01-22,65,7
2025-01-23,70,7
2025-01-24,67,7
2025-01-25,62,7
2025-01-26,79,7
2025-01-27,80,7
2025-01-28,76,7
2025-01-29,70,6.93
2025-01-30,75,6.93
2025-01-31,82,6.93
2025-02-01,69,6.93
2025-02-02,70,7
2025-02-03,79,7
2025-02-04,71,7
2025-02-05,66,7
2025-02-06,78,7
2025-02-07,78,7
2025-02-08,78,7
2025-02-09,72,6.99
2025-02-10,79,7
2025-02-11,78,7
2025-02-12,75,7
2025-02-13,72,7
2025-02-14,69,7
2025-02-15,68,7
2025-02-16,71,7
2025-02-17,83,6.72
2025-02-18,93,7
2025-02-19,78,7
2025-02-20,68,7
2025-02-21,67,7
2025-02-22,61,7
2025-02-23,70,6.72
2025-02-24,71,7
2025-02-25,76,7
2025-02-26,68,7
2025-02-27,68,7
2025-02-28,68,7
2025-03-01,57,7
2025-03-02,62,7
2025-03-03,63,7
2025-03-04,54,7
2025-03-05,58,7
2025-03-06,59,7
2025-03-07,65,7.79
2025-03-08,59,7.79
2025-03-09,62,7.79
2025-03-10,65,7.79
2025-03-11,62,7.79
2025-03-12,55,7.79
2025-03-13,54,7.79
2025-03-14,49,7
2025-03-15,49,7
2025-03-16,52,7
2025-03-17,66,7
2025-03-18,64,6
2025-03-19,63,6
2025-03-20,66,6
2025-03-21,61,6
2025-03-22,65,6
2025-03-23,72,6
2025-03-24,80,6
2025-03-25,84,6
2025-03-26,72,6
2025-03-27,72,6
2025-03-28,72,6
2025-03-29,69,6
2025-03-30,73,6
2025-03-31,62,7
2025-04-01,57,7
2025-04-02,58,7
2025-04-03,52,7
2025-04-04,60,7
2025-04-05,59,7
2025-04-06,55,7
2025-04-07,67,7
