date,estimated_units_sold,last_known_price
2024-07-19,66,11.86
2024-07-20,61,11.86
2024-07-21,63,11.86
2024-07-22,49,11.86
2024-07-23,46,11.86
2024-07-24,44,11.86
2024-07-25,50,11.86
2024-07-26,41,11.94
2024-07-27,39,11.96
2024-07-28,32,11.97
2024-07-29,42,14.64
2024-07-30,36,14.64
2024-07-31,49,11.78
2024-08-01,48,14.31
2024-08-02,44,11.88
2024-08-03,51,11.91
2024-08-04,49,11.86
2024-08-05,48,11.86
2024-08-06,45,11.86
2024-08-07,49,11.86
2024-08-08,48,11.86
2024-08-09,48,11.78
2024-08-10,43,11.78
2024-08-11,42,11.78
2024-08-12,38,11.95
2024-08-13,40,11.78
2024-08-14,47,11.78
2024-08-15,42,11.86
2024-08-16,39,11.86
2024-08-17,39,11.86
2024-08-18,48,11.86
2024-08-19,46,11.79
2024-08-20,47,11.75
2024-08-21,49,11.78
2024-08-22,46,11.75
2024-08-23,50,11.72
2024-08-24,37,11.68
2024-08-25,46,11.68
2024-08-26,49,11.68
2024-08-27,49,11.68
2024-08-28,48,11.68
2024-08-29,48,11.68
2024-08-30,44,11.72
2024-08-31,42,11.69
2024-09-01,43,11.69
2024-09-02,43,11.72
2024-09-03,42,11.3
2024-09-04,48,11.41
2024-09-05,43,11.41
2024-09-06,37,11.31
2024-09-07,44,11.31
2024-09-08,46,11.41
2024-09-09,46,11.41
2024-09-10,44,11.44
2024-09-11,37,11.44
2024-09-12,46,11.56
2024-09-13,41,11.6
2024-09-14,43,11.86
2024-09-15,45,11.94
2024-09-16,42,12.91
2024-09-17,40,13.24
2024-09-18,36,11.71
2024-09-19,48,11.88
2024-09-20,43,11.74
2024-09-21,42,12.04
2024-09-22,47,11.86
2024-09-23,45,11.86
2024-09-24,36,11.86
2024-09-25,46,11.65
2024-09-26,42,11.86
2024-09-27,43,11.86
2024-09-28,41,11.86
2024-09-29,41,11.86
2024-09-30,53,11.86
2024-10-01,48,11.86
2024-10-02,44,11.86
2024-10-03,54,11.85
2024-10-04,46,11.89
2024-10-05,43,12.87
2024-10-06,41,11.77
2024-10-07,55,12.07
2024-10-08,69,14.62
2024-10-09,43,13.58
2024-10-10,36,12.07
2024-10-11,43,12.07
2024-10-12,52,12.34
2024-10-13,51,12.12
2024-10-14,35,12.42
2024-10-15,37,12.11
2024-10-16,40,12.32
2024-10-17,49,12.05
2024-10-18,45,12.25
2024-10-19,44,12.21
2024-10-20,47,12.44
2024-10-21,34,12.44
2024-10-22,41,12.38
2024-10-23,43,12.85
2024-10-24,40,12.92
2024-10-25,41,12.52
2024-10-26,41,12.35
2024-10-27,36,12.41
2024-10-28,43,12.42
2024-10-29,46,12.33
2024-10-30,48,12.38
2024-10-31,49,11.77
2024-11-01,47,12.4
2024-11-02,40,12.41
2024-11-03,40,12.41
2024-11-04,50,12.37
2024-11-05,54,12.35
2024-11-06,45,12.25
2024-11-07,48,12.42
2024-11-08,49,12.56
2024-11-09,41,12.6
2024-11-10,43,12.49
2024-11-11,45,12.32
2024-11-12,59,12.63
2024-11-13,61,13.48
2024-11-14,48,13.48
2024-11-15,51,13.48
2024-11-16,48,13.48
2024-11-17,57,13.48
2024-11-18,62,12.99
2024-11-19,55,13.48
2024-11-20,55,12.98
2024-11-21,57,12.98
2024-11-22,54,12.98
2024-11-23,41,12.98
2024-11-24,42,12.98
2024-11-25,48,12.98
2024-11-26,45,12.98
2024-11-27,52,12.98
2024-11-28,44,12.98
2024-11-29,44,12.98
2024-11-30,33,12.98
2024-12-01,33,12.98
2024-12-02,37,12.98
2024-12-03,36,12.98
2024-12-04,35,12.98
2024-12-05,37,12.98
2024-12-06,37,12.98
2024-12-07,35,12.98
2024-12-08,37,12.98
2024-12-09,31,12.98
2024-12-10,34,12.98
2024-12-11,38,12.98
2024-12-12,39,12.98
2024-12-13,35,12.98
2024-12-14,31,12.98
2024-12-15,40,12.98
2024-12-16,34,12.98
2024-12-17,36,12.98
2024-12-18,31,12.83
2024-12-19,38,12.83
2024-12-20,34,12.83
2024-12-21,41,12.83
2024-12-22,38,12.83
2024-12-23,32,12.83
2024-12-24,28,12.83
2024-12-25,27,12.83
2024-12-26,27,12.83
2024-12-27,30,12.83
2024-12-28,30,12.83
2024-12-29,29,12.83
2024-12-30,37,12.83
2024-12-31,41,12.83
2025-01-01,35,12.83
2025-01-02,39,12.83
2025-01-03,43,12.83
2025-01-04,37,12.83
2025-01-05,45,12.83
2025-01-06,50,12.83
2025-01-07,44,12.73
2025-01-08,45,12.73
2025-01-09,41,12.73
2025-01-10,45,13.01
2025-01-11,41,13.69
2025-01-12,39,13.21
2025-01-13,40,13.59
2025-01-14,43,12.91
2025-01-15,36,13.04
2025-01-16,37,14.48
2025-01-17,31,12.73
2025-01-18,35,12.73
2025-01-19,32,12.73
2025-01-20,51,12.73
2025-01-21,43,12.73
2025-01-22,50,12.73
2025-01-23,37,12.73
2025-01-24,44,12.73
2025-01-25,42,12.73
2025-01-26,35,12.73
2025-01-27,44,12.73
2025-01-28,44,12.73
2025-01-29,39,12.73
2025-01-30,53,12.73
2025-01-31,54,12.73
2025-02-01,44,12.73
2025-02-02,48,12.73
2025-02-03,46,12.73
2025-02-04,54,12.73
2025-02-05,48,12.68
2025-02-06,44,12.68
2025-02-07,40,12.68
2025-02-08,50,12.68
2025-02-09,41,12.68
2025-02-10,38,12.68
2025-02-11,46,12.68
2025-02-12,44,13.53
2025-02-13,42,13.53
2025-02-14,41,14.01
2025-02-15,41,13.07
2025-02-16,40,13.27
2025-02-17,46,14.13
2025-02-18,39,14.26
2025-02-19,38,13.32
2025-02-20,35,14.43
2025-02-21,39,14.16
2025-02-22,30,12.68
2025-02-23,42,12.68
2025-02-24,36,13.25
2025-02-25,42,13.81
2025-02-26,38,13.75
2025-02-27,28,12.92
2025-02-28,35,14.52
2025-03-01,32,14.15
2025-03-02,31,13.95
2025-03-03,40,14.28
2025-03-04,43,12.1
2025-03-05,41,12.12
2025-03-06,40,12.12
2025-03-07,37,12.12
2025-03-08,34,12.12
2025-03-09,41,12.1
2025-03-10,44,12.1
2025-03-11,41,12.1
2025-03-12,38,12.1
2025-03-13,46,12.12
2025-03-14,43,12.12
2025-03-15,39,12.12
2025-03-16,42,12.12
2025-03-17,44,12.1
2025-03-18,46,12.1
2025-03-19,38,12.1
2025-03-20,38,12.12
2025-03-21,30,12.12
2025-03-22,32,12.12
2025-03-23,40,12.11
2025-03-24,39,12.1
2025-03-25,50,12.08
2025-03-26,58,12.08
2025-03-27,51,12.3
2025-03-28,47,12.3
2025-03-29,42,12.3
2025-03-30,39,12.3
2025-03-31,37,12.28
2025-04-01,48,11.92
2025-04-02,57,11.92
