date,estimated_units_sold,last_known_price
2024-07-19,53,3.5
2024-07-20,45,3.5
2024-07-21,66,3.5
2024-07-22,37,3.5
2024-07-23,46,3.5
2024-07-24,35,3.5
2024-07-25,34,3.5
2024-07-26,38,3.5
2024-07-27,30,3.5
2024-07-28,41,3.5
2024-07-29,45,3.5
2024-07-30,39,3.5
2024-07-31,40,3.5
2024-08-01,41,3.5
2024-08-02,33,3.5
2024-08-03,33,3.5
2024-08-04,38,3.5
2024-08-05,42,3.5
2024-08-06,35,3.5
2024-08-07,39,3.5
2024-08-08,39,3.5
2024-08-09,39,3.5
2024-08-10,46,3.5
2024-08-11,38,3.5
2024-08-12,46,3.5
2024-08-13,44,3.5
2024-08-14,39,3.5
2024-08-15,43,3.5
2024-08-16,46,2.98
2024-08-17,40,2.98
2024-08-18,51,3.5
2024-08-19,59,3.5
2024-08-20,41,3.5
2024-08-21,41,3.5
2024-08-22,37,2.98
2024-08-23,46,3.5
2024-08-24,41,2.98
2024-08-25,54,3.5
2024-08-26,52,2.98
2024-08-27,50,3.5
2024-08-28,55,3.5
2024-08-29,51,2.98
2024-08-30,50,3.5
2024-08-31,52,3.5
2024-09-01,51,3.5
2024-09-02,47,3.5
2024-09-03,48,3.5
2024-09-04,38,3.52
2024-09-05,40,3.52
2024-09-06,42,3.52
2024-09-07,38,3.52
2024-09-08,42,3.52
2024-09-09,45,3.52
2024-09-10,40,3.86
2024-09-11,48,2.98
2024-09-12,61,2.98
2024-09-13,48,3.52
2024-09-14,50,3.52
2024-09-15,41,3.52
2024-09-16,53,3.52
2024-09-17,47,3.52
2024-09-18,44,3.86
2024-09-19,38,3.86
2024-09-20,39,3.86
2024-09-21,40,3.86
2024-09-22,47,3.52
2024-09-23,36,3.52
2024-09-24,41,3.86
2024-09-25,39,3.52
2024-09-26,39,3.52
2024-09-27,40,3.52
2024-09-28,30,3.52
2024-09-29,42,2.98
2024-09-30,45,2.98
2024-10-01,51,2.98
2024-10-02,52,3.52
2024-10-03,52,3.86
2024-10-04,50,3.52
2024-10-05,45,3.52
2024-10-06,55,2.98
2024-10-07,57,3.86
2024-10-08,52,3.86
2024-10-09,64,3.86
2024-10-10,62,2.98
2024-10-11,71,2.98
2024-10-12,76,2.98
2024-10-13,80,3.52
2024-10-14,59,3.52
2024-10-15,48,3.52
2024-10-16,48,3.52
2024-10-17,56,2.98
2024-10-18,44,3.52
2024-10-19,60,3.52
2024-10-20,65,3.52
2024-10-21,56,3.52
2024-10-22,51,3.52
2024-10-23,36,6.02
2024-10-24,32,6.02
2024-10-25,23,6.02
2024-10-26,26,6.02
2024-10-27,23,5.95
2024-10-28,22,5.95
2024-10-29,25,5.95
2024-10-30,28,5.95
2024-10-31,35,5.95
2024-11-01,35,5.95
2024-11-02,22,5.95
2024-11-03,29,5.95
2024-11-04,26,5.95
2024-11-05,34,5.95
2024-11-06,28,5.95
2024-11-07,23,5.95
2024-11-08,22,5.95
2024-11-09,18,5.95
2024-11-10,27,5.95
2024-11-11,42,5.95
2024-11-12,43,5.95
2024-11-13,43,5.95
2024-11-14,38,5.24
2024-11-15,30,4.98
2024-11-16,42,4.98
2024-11-17,34,4.98
2024-11-18,35,3.86
2024-11-19,50,3.52
2024-11-20,74,3.52
2024-11-21,81,3.52
2024-11-22,75,2.98
2024-11-23,94,2.98
2024-11-24,91,2.98
2024-11-25,123,2.98
2024-11-26,108,2.98
2024-11-27,122,2.98
2024-11-28,129,2.98
2024-11-29,133,2.98
2024-11-30,117,2.98
2024-12-01,131,2.98
2024-12-02,134,2.98
2024-12-03,108,2.98
2024-12-04,107,3.52
2024-12-05,109,3.52
2024-12-06,123,2.98
2024-12-07,114,3.86
2024-12-08,109,2.98
2024-12-09,104,3.52
2024-12-10,102,3.86
2024-12-11,112,3.52
2024-12-12,110,2.98
2024-12-13,120,3.52
2024-12-14,106,2.98
2024-12-15,117,3.86
2024-12-16,103,3.86
2024-12-17,89,3.86
2024-12-18,101,3.52
2024-12-19,100,2.98
2024-12-20,96,3.86
2024-12-21,96,2.98
2024-12-22,101,2.98
2024-12-23,77,3.52
2024-12-24,101,3.86
2024-12-25,88,3.52
2024-12-26,79,3.52
2024-12-27,82,3.52
2024-12-28,93,3.52
2024-12-29,93,3.52
2024-12-30,100,3.86
2024-12-31,100,2.98
2025-01-01,106,3.52
2025-01-02,115,3.86
2025-01-03,109,2.98
2025-01-04,96,3.52
2025-01-05,106,2.98
2025-01-06,100,3.86
2025-01-07,89,3.86
2025-01-08,111,3.86
2025-01-09,99,2.98
2025-01-10,104,2.98
2025-01-11,119,3.52
2025-01-12,101,3.86
2025-01-13,114,3.52
2025-01-14,126,3.52
2025-01-15,119,2.98
2025-01-16,115,3.52
2025-01-17,116,2.98
2025-01-18,99,2.98
2025-01-19,123,3.52
2025-01-20,113,2.98
2025-01-21,112,3.52
2025-01-22,110,3.52
2025-01-23,115,3.86
2025-01-24,99,2.98
2025-01-25,92,3.86
2025-01-26,92,3.52
2025-01-27,110,3.52
2025-01-28,109,3.86
2025-01-29,108,3.86
2025-01-30,101,3.86
2025-01-31,108,3.52
2025-02-01,85,3.52
2025-02-02,98,3.52
2025-02-03,117,3.52
2025-02-04,112,3.52
2025-02-05,105,3.52
2025-02-06,106,3.52
2025-02-07,101,2.98
2025-02-08,108,2.98
2025-02-09,113,3.52
2025-02-10,97,3.52
2025-02-11,91,3.52
2025-02-12,82,3.86
2025-02-13,74,3.86
2025-02-14,67,3.86
2025-02-15,78,3.52
2025-02-16,89,3.86
2025-02-17,85,3.52
2025-02-18,89,3.52
2025-02-19,94,2.98
2025-02-20,102,3.52
2025-02-21,104,3.52
2025-02-22,89,3.86
2025-02-23,95,3.52
2025-02-24,87,3.52
2025-02-25,93,2.98
2025-02-26,84,3.52
2025-02-27,85,3.52
2025-02-28,85,2.98
2025-03-01,88,2.98
2025-03-02,98,3.52
2025-03-03,105,3.86
2025-03-04,91,2.98
2025-03-05,98,3.86
2025-03-06,88,3.52
2025-03-07,90,3.86
2025-03-08,94,3.86
2025-03-09,97,3.52
2025-03-10,114,3.52
2025-03-11,92,3.86
2025-03-12,99,3.52
2025-03-13,85,3.52
2025-03-14,92,3.86
2025-03-15,97,3.86
2025-03-16,95,3.52
2025-03-17,133,3.52
2025-03-18,119,3.86
2025-03-19,107,2.98
2025-03-20,111,3.52
2025-03-21,103,3.52
2025-03-22,91,3.52
2025-03-23,90,3.86
2025-03-24,112,3.52
2025-03-25,115,3.52
2025-03-26,118,3.52
2025-03-27,108,3.52
2025-03-28,100,2.98
2025-03-29,104,2.98
2025-03-30,112,3.52
2025-03-31,108,2.98
2025-04-01,114,2.98
2025-04-02,114,3.52
2025-04-03,109,3.52
2025-04-04,124,2.98
2025-04-05,114,2.98
2025-04-06,120,3.52
2025-04-07,128,2.98
2025-04-08,127,3.52
2025-04-09,108,3.52
2025-04-10,102,2.98
2025-04-11,111,3.52
2025-04-12,107,3.86
2025-04-13,121,2.98
2025-04-14,120,3.52
2025-04-15,126,3.86
2025-04-16,107,3.52
2025-04-17,100,2.98
2025-04-18,111,3.52
2025-04-19,110,3.52
2025-04-20,106,3.52
2025-04-21,113,3.52
2025-04-22,114,3.52
2025-04-23,98,3.52
2025-04-24,99,3.52
2025-04-25,97,3.52
2025-04-26,84,3.86
2025-04-27,114,3.52
2025-04-28,127,3.52
2025-04-29,105,2.98
2025-04-30,121,3.52
2025-05-01,115,2.98
2025-05-02,98,3.52
2025-05-03,112,3.52
2025-05-04,111,3.52
2025-05-05,111,3.52
2025-05-06,120,3.52
2025-05-07,113,3.52
2025-05-08,91,3.52
2025-05-09,104,3.86
2025-05-10,103,3.52
2025-05-11,109,3.52
2025-05-12,103,3.52
2025-05-13,116,3.52
2025-05-14,119,3.52
2025-05-15,109,3.52
2025-05-16,103,3.52
2025-05-17,101,3.52
2025-05-18,102,3.52
2025-05-19,103,3.52
2025-05-20,97,3.52
2025-05-21,94,3.52
2025-05-22,99,3.52
2025-05-23,94,3.52
2025-05-24,91,3.52
2025-05-25,89,3.52
2025-05-26,97,3.52
2025-05-27,97,3.52
2025-05-28,97,3.52
2025-05-29,102,3.52
2025-05-30,96,3.52
2025-05-31,96,3.52
2025-06-01,93,3.52
2025-06-02,107,3.52
2025-06-03,107,3.52
2025-06-04,103,3.52
2025-06-05,103,3.52
2025-06-06,103,3.52
2025-06-07,93,3.52
2025-06-08,94,3.52
2025-06-09,103,3.52
2025-06-10,112,3.52
2025-06-11,109,3.52
2025-06-12,111,3.52
2025-06-13,109,3.52
2025-06-14,108,3.52
2025-06-15,107,3.52
2025-06-16,98,3.52
2025-06-17,98,3.86
2025-06-18,99,3.52
2025-06-19,96,3.52
2025-06-20,94,3.52
2025-06-21,99,3.52
2025-06-22,97,3.52
2025-06-23,111,3.52
2025-06-24,114,3.52
2025-06-25,116,3.52
