date,estimated_units_sold,last_known_price
2024-07-19,12,34.97
2024-07-20,14,34.97
2024-07-21,20,34.97
2024-07-22,19,34.97
2024-07-23,15,34.97
2024-07-24,17,34.97
2024-07-25,11,39
2024-07-26,10,39
2024-07-27,15,39
2024-07-28,15,39
2024-07-29,11,39
2024-07-30,11,39
2024-07-31,10,39
2024-08-01,10,39
2024-08-02,15,39
2024-08-03,16,39
2024-08-04,7,39
2024-08-05,9,39
2024-08-06,10,39
2024-08-07,10,39
2024-08-08,9,39
2024-08-09,9,39
2024-08-10,11,39
2024-08-11,10,39
2024-08-12,10,39
2024-08-13,9,39
2024-08-14,14,39
2024-08-15,12,39
2024-08-16,9,39
2024-08-17,9,39
2024-08-18,8,39
2024-08-19,6,39
2024-08-20,12,39
2024-08-21,11,39
2024-08-22,24,39
2024-08-23,21,39
2024-08-24,11,39
2024-08-25,13,39
2024-08-26,11,39
2024-08-27,13,39
2024-08-28,13,39
2024-08-29,13,39
2024-08-30,11,39
2024-08-31,18,39
2024-09-01,12,39
2024-09-02,15,39
2024-09-03,19,39
2024-09-04,22,39
2024-09-05,18,39
2024-09-06,17,39
2024-09-07,17,39
2024-09-08,17,39
2024-09-09,18,39
2024-09-10,14,39
2024-09-11,17,39
2024-09-12,16,39
2024-09-13,21,39
2024-09-14,17,39
2024-09-15,17,39
2024-09-16,18,39
2024-09-17,17,39
2024-09-18,18,39
2024-09-19,21,39
2024-09-20,17,39
2024-09-21,16,39
2024-09-22,20,39
2024-09-23,20,39
2024-09-24,19,39
2024-09-25,25,39
2024-09-26,17,39
2024-09-27,17,39
2024-09-28,19,39
2024-09-29,19,39
2024-09-30,15,39
2024-10-01,20,39
2024-10-02,20,39
2024-10-03,19,39
2024-10-04,24,39
2024-10-05,19,39
2024-10-06,24,39
2024-10-07,35,38
2024-10-08,31,39
2024-10-09,95,39
2024-10-10,99,39
2024-10-11,66,39
2024-10-12,49,37.73
2024-10-13,40,37.7
2024-10-14,31,37.68
2024-10-15,37,37.65
2024-10-16,27,37.68
2024-10-17,27,39
2024-10-18,33,39
2024-10-19,32,39
2024-10-20,29,39
2024-10-21,27,36.9
2024-10-22,32,37.65
2024-10-23,30,37.68
2024-10-24,29,39
2024-10-25,24,39
2024-10-26,22,37.65
2024-10-27,36,37.63
2024-10-28,36,39
2024-10-29,37,37.65
2024-10-30,26,37.65
2024-10-31,29,37.65
2024-11-01,30,37.24
2024-11-02,31,37.24
2024-11-03,36,37.22
