date,estimated_units_sold,last_known_price
2024-07-15,1012,17.75
2024-07-22,912,17.87
2024-07-29,897,17.74
2024-08-05,936,17.74
2024-08-12,1021,17.74
2024-08-19,980,17.75
2024-08-26,981,17.76
2024-09-02,1057,17.71
2024-09-09,1085,17.65
2024-09-16,1064,17.74
2024-09-23,1109,17.83
2024-09-30,1036,17.94
2024-10-07,2431,18.08
2024-10-14,1323,18.08
2024-10-21,1224,17.71
2024-10-28,1528,16.41
2024-11-04,1419,19.47
2024-11-11,1203,19.98
2024-11-18,2141,14.99
2024-11-25,1417,23.12
2024-12-02,711,20.66
2024-12-09,1049,19.98
2024-12-16,936,19.98
2024-12-23,954,19.98
2025-01-06,1152,19.98
2025-01-13,1226,19.98
2025-01-20,1208,19.98
2025-01-27,1221,19.98
2025-02-03,1266,19.98
2025-02-10,1194,19.98
2025-02-17,1081,19.98
2025-02-24,951,19.2
2025-03-03,945,18.06
2025-03-10,995,17.65
2025-03-17,861,18.29
2025-03-24,897,18.73
2025-03-31,1220,17.21
2025-04-07,1604,14.95
2025-04-14,1492,15.6
2025-04-21,1445,14.96
2025-04-28,1420,15.08
2025-05-05,1379,14.56
2025-05-12,1526,13.95
2025-05-19,1588,14.06
2025-05-26,1411,14.07
2025-06-02,1345,14.07
2025-06-09,1356,15.3
2025-06-16,1176,17.75
2025-06-23,971,19.75
2025-06-30,978,19.98
2025-07-07,827,19.38
2025-07-14,677,19.44
2025-07-21,523,18.93
