date,estimated_units_sold,last_known_price
2024-07-15,453,12.87
2024-07-22,430,12.91
2024-07-29,397,12.89
2024-08-05,434,13.2
2024-08-12,478,13.03
2024-08-19,477,13.0
2024-08-26,488,12.98
2024-09-02,470,12.2
2024-09-09,423,10.25
2024-09-16,364,12.64
2024-09-23,489,11.81
2024-09-30,595,11.31
2024-10-07,850,11.49
2024-10-14,628,11.49
2024-10-21,658,11.14
2024-10-28,594,11.49
2024-11-04,670,11.49
2024-11-11,745,11.49
2024-11-18,994,10.2
2024-11-25,1132,9.99
2024-12-02,1055,11.06
2024-12-09,714,11.49
2024-12-16,758,11.49
2024-12-23,543,12.83
2025-01-06,690,11.49
2025-01-13,789,11.49
2025-01-20,707,11.49
2025-01-27,743,11.49
2025-02-03,826,11.49
2025-02-10,704,11.49
2025-02-17,652,11.49
2025-02-24,569,11.49
2025-03-03,466,13.26
2025-03-10,237,18.26
2025-03-17,197,16.99
2025-03-24,250,15.94
2025-03-31,242,17.82
2025-04-07,216,17.51
2025-04-14,197,18.2
2025-04-21,162,18.23
2025-04-28,166,18.17
2025-05-05,174,18.23
2025-05-12,152,18.28
2025-05-19,217,18.05
2025-05-26,220,18.36
2025-06-02,236,18.34
2025-06-09,206,17.81
2025-06-16,234,18.33
2025-06-23,215,17.12
2025-06-30,219,18.0
2025-07-07,195,18.24
2025-07-14,211,18.09
2025-07-21,178,18.11
