date,estimated_units_sold,last_known_price
2024-07-15,468,25.96
2024-07-22,382,25.13
2024-07-29,439,21.95
2024-08-05,446,25.45
2024-08-12,449,24.96
2024-08-19,491,24.8
2024-08-26,539,24.53
2024-09-02,547,24.85
2024-09-09,531,23.78
2024-09-16,574,23.58
2024-09-23,625,22.89
2024-09-30,625,23.5
2024-10-07,1344,22.59
2024-10-14,615,24.47
2024-10-21,484,24.35
2024-10-28,561,23.69
2024-11-04,575,23.13
2024-11-11,765,24.05
2024-11-18,1185,19.77
2024-11-25,1489,19.77
2024-12-02,1010,23.8
2024-12-09,643,24.29
2024-12-16,541,24.11
2024-12-23,512,24.46
2025-01-06,551,24.9
2025-01-13,577,24.94
2025-01-20,521,24.91
2025-01-27,552,24.03
2025-02-03,547,25.02
2025-02-10,599,22.78
2025-02-17,628,22.59
2025-02-24,583,24.41
2025-03-03,556,25.86
2025-03-10,587,23.88
2025-03-17,466,25.63
2025-03-24,515,25.38
2025-03-31,520,24.32
2025-04-07,459,24.73
2025-04-14,472,25.21
2025-04-21,537,25.18
2025-04-28,558,25.21
2025-05-05,448,25.66
2025-05-12,476,25.18
2025-05-19,583,25.21
2025-05-26,655,25.15
2025-06-02,686,24.62
2025-06-09,643,24.95
2025-06-16,684,24.95
2025-06-23,558,24.95
2025-06-30,663,24.95
2025-07-07,605,24.93
2025-07-14,751,24.9
2025-07-21,642,24.9
