date,estimated_units_sold,last_known_price
2024-07-15,340,19.9
2024-07-22,319,19.9
2024-07-29,291,19.9
2024-08-05,339,19.9
2024-08-12,392,19.9
2024-08-19,372,19.9
2024-08-26,409,19.9
2024-09-02,404,19.9
2024-09-09,295,20.9
2024-09-16,225,22.68
2024-09-23,251,22.68
2024-09-30,247,22.68
2024-10-07,566,22.68
2024-10-14,256,22.68
2024-10-21,201,22.68
2024-10-28,227,22.68
2024-11-04,237,22.68
2024-11-11,303,22.68
2024-11-18,575,17.01
2024-11-25,626,17.01
2024-12-02,437,21.9
2024-12-09,278,22.72
2024-12-16,213,22.72
2024-12-23,183,22.71
2025-01-06,237,22.62
2025-01-13,205,22.74
2025-01-20,187,23.2
2025-01-27,156,21.72
2025-02-03,199,21.34
2025-02-10,174,20.38
2025-02-17,181,19.76
2025-02-24,195,19.3
2025-03-03,190,19.24
2025-03-10,197,19.35
2025-03-17,127,19.48
2025-03-24,124,19.5
2025-03-31,110,19.3
2025-04-07,120,19.22
2025-04-14,113,21.03
2025-04-21,94,22.96
2025-04-28,98,22.78
2025-05-05,95,22.78
2025-05-12,71,22.59
2025-05-19,89,23.04
2025-05-26,115,24.35
2025-06-02,113,24.31
2025-06-09,113,24.35
2025-06-16,140,24.35
2025-06-23,89,24.35
2025-06-30,81,23.9
2025-07-07,79,23.57
2025-07-14,84,23.57
2025-07-21,72,22.42
