date,estimated_units_sold,last_known_price
2024-07-15,25,17.96
2024-07-22,41,17.96
2024-07-29,50,17.96
2024-08-05,56,17.96
2024-08-12,61,17.96
2024-08-19,47,17.96
2024-08-26,48,17.96
2024-09-02,53,17.7
2024-09-09,70,15.23
2024-09-16,96,15.3
2024-09-23,63,22.06
2024-09-30,47,22.05
2024-10-07,48,22.05
2024-10-14,47,22.05
2024-10-21,48,22.05
2024-10-28,55,21.55
2024-11-04,60,20.31
2024-11-11,55,20.31
2024-11-18,48,20.31
2024-11-25,49,20.31
2024-12-02,58,19.85
2024-12-09,68,17.06
2024-12-16,53,17.06
2024-12-23,52,17.06
2025-01-06,62,17.06
2025-01-13,69,17.06
2025-01-20,59,17.06
2025-01-27,69,17.06
2025-02-03,57,17.06
2025-02-10,56,17.06
2025-02-17,56,17.06
2025-02-24,65,17.06
2025-03-03,76,17.06
2025-03-10,82,17.06
2025-03-17,72,17.06
2025-03-24,55,16.71
2025-03-31,74,15.89
2025-04-07,121,13.27
2025-04-14,156,12.76
2025-04-21,155,12.96
2025-04-28,178,13.12
2025-05-05,159,12.36
2025-05-12,205,11.99
2025-05-19,233,11.99
2025-05-26,194,11.99
2025-06-02,219,11.99
2025-06-09,238,11.99
2025-06-16,217,11.99
2025-06-23,222,12.0
2025-06-30,230,12.0
2025-07-07,226,12.0
2025-07-14,194,12.0
2025-07-21,154,12.0
