date,estimated_units_sold,last_known_price
2024-07-15,12,26.13
2024-07-22,65,26.13
2024-07-29,70,26.13
2024-08-05,80,26.26
2024-08-12,66,26.5
2024-08-19,88,26.7
2024-08-26,66,26.73
2024-09-02,96,26.76
2024-09-09,93,26.8
2024-09-16,96,26.79
2024-09-23,101,26.71
2024-09-30,103,26.78
2024-10-07,161,26.78
2024-10-14,94,26.78
2024-10-21,97,26.77
2024-10-28,123,26.54
2024-11-04,95,25.66
2024-11-11,112,26.24
2024-11-18,173,20.99
2024-11-25,206,20.99
2024-12-02,182,20.99
2024-12-09,153,20.99
2024-12-16,133,20.99
2024-12-23,131,20.2
2025-01-06,118,20.99
2025-01-13,108,20.99
2025-01-20,92,20.99
2025-01-27,87,20.99
2025-02-03,110,20.99
2025-02-10,69,20.99
2025-02-17,80,20.99
2025-02-24,59,20.99
2025-03-03,60,20.99
2025-03-10,63,20.99
2025-03-17,73,20.99
2025-03-24,61,22.65
2025-03-31,56,25.96
2025-04-07,64,20.99
2025-04-14,72,20.99
2025-04-21,86,20.99
2025-04-28,76,20.99
2025-05-05,75,20.99
2025-05-12,69,20.99
2025-05-19,86,20.99
2025-05-26,81,20.99
2025-06-02,83,20.99
2025-06-09,89,20.99
2025-06-16,108,20.99
2025-06-23,62,20.99
2025-06-30,68,20.99
2025-07-07,67,20.99
2025-07-14,59,20.99
2025-07-21,60,20.99
