date,estimated_units_sold,last_known_price
2024-07-15,89,13.99
2024-07-22,131,13.99
2024-07-29,124,13.99
2024-08-05,144,13.78
2024-08-12,126,13.82
2024-08-19,107,13.67
2024-08-26,156,10.3
2024-09-02,189,7.53
2024-09-09,203,7.53
2024-09-16,198,7.53
2024-09-23,176,7.53
2024-09-30,174,7.53
2024-10-07,201,7.53
2024-10-14,187,7.44
2024-10-21,171,7.85
2024-10-28,193,7.98
2024-11-04,213,7.98
2024-11-11,206,7.79
2024-11-18,205,7.53
2024-11-25,219,7.53
2024-12-02,154,7.53
2024-12-09,184,7.66
2024-12-16,122,7.98
2024-12-23,115,7.72
2025-01-06,63,7.53
2025-01-13,62,7.66
2025-01-20,46,15.0
2025-01-27,52,14.47
2025-02-03,69,11.22
2025-02-10,55,10.58
2025-02-17,36,7.66
2025-02-24,51,7.66
2025-03-03,39,7.53
2025-03-10,40,7.53
2025-03-17,67,7.29
2025-03-24,142,7.53
2025-03-31,137,7.37
2025-04-07,166,7.53
2025-04-14,145,7.53
2025-04-21,142,7.53
2025-04-28,150,7.45
2025-05-05,144,8.45
2025-05-12,121,7.53
2025-05-19,124,7.53
2025-05-26,133,8.73
2025-06-02,133,7.53
2025-06-09,164,7.53
2025-06-16,170,7.53
2025-06-23,168,7.53
2025-06-30,189,7.53
2025-07-07,190,7.53
2025-07-14,184,7.53
2025-07-21,160,6.94
