date,estimated_units_sold,last_known_price
2024-07-15,51,14.99
2024-07-22,87,15.0
2024-07-29,101,14.99
2024-08-05,99,14.99
2024-08-12,107,15.0
2024-08-19,106,14.99
2024-08-26,113,15.0
2024-09-02,101,15.0
2024-09-09,114,15.0
2024-09-16,117,15.0
2024-09-23,107,14.99
2024-09-30,120,14.99
2024-10-07,111,15.0
2024-10-14,108,15.0
2024-10-21,107,15.0
2024-10-28,124,14.57
2024-11-04,153,14.03
2024-11-11,134,13.92
2024-11-18,155,14.35
2024-11-25,133,13.49
2024-12-02,85,13.92
2024-12-09,102,14.75
2024-12-16,97,14.21
2024-12-23,77,14.57
2025-01-06,110,14.93
2025-01-13,80,15.0
2025-01-20,102,14.14
2025-01-27,83,14.78
2025-02-03,111,15.0
2025-02-10,113,15.0
2025-02-17,81,14.92
2025-02-24,77,14.45
2025-03-03,48,14.39
2025-03-10,37,14.27
2025-03-17,71,13.09
2025-03-24,84,12.41
2025-03-31,72,14.55
2025-04-07,54,14.88
2025-04-14,54,14.43
2025-04-21,52,13.49
2025-04-28,44,14.35
2025-05-05,40,13.99
2025-05-12,53,13.98
2025-05-19,65,13.98
2025-05-26,74,13.98
2025-06-02,72,13.98
2025-06-09,91,13.98
2025-06-16,79,13.98
2025-06-23,93,14.0
2025-06-30,85,14.0
2025-07-07,70,14.0
2025-07-14,58,14.0
2025-07-21,59,14.0
