date,estimated_units_sold,last_known_price
2024-07-15,356,2.47
2024-07-22,568,2.47
2024-07-29,613,2.47
2024-08-05,491,2.47
2024-08-12,612,2.47
2024-08-19,588,2.47
2024-08-26,596,2.47
2024-09-02,603,2.47
2024-09-09,458,6.29
2024-09-16,433,6.86
2024-09-23,495,6.86
2024-09-30,410,6.76
2024-10-07,523,6.74
2024-10-14,470,6.74
2024-10-21,483,6.68
2024-10-28,498,6.73
2024-11-04,486,6.97
2024-11-11,579,6.79
2024-11-18,492,6.84
2024-11-25,488,6.91
2024-12-02,411,6.91
2024-12-09,376,6.97
2024-12-16,354,6.95
2024-12-23,322,6.48
2025-01-06,520,5.03
2025-01-13,533,5.11
2025-01-20,521,6.99
2025-01-27,471,7.0
2025-02-03,522,6.96
2025-02-10,522,7.0
2025-02-17,512,7.0
2025-02-24,520,6.92
2025-03-03,470,7.0
2025-03-10,420,7.34
2025-03-17,386,7.45
2025-03-24,457,6.14
2025-03-31,522,6.0
2025-04-07,403,7.0
2025-04-14,423,7.0
2025-04-21,389,6.68
2025-04-28,345,6.97
2025-05-05,453,7.0
2025-05-12,388,6.71
2025-05-19,403,7.0
2025-05-26,424,7.0
2025-06-02,420,6.96
2025-06-09,474,6.88
2025-06-16,438,6.96
2025-06-23,423,6.88
2025-06-30,426,7.0
2025-07-07,356,7.0
2025-07-14,312,7.0
2025-07-21,294,7.0
