date,estimated_units_sold,last_known_price
2024-07-15,190,11.86
2024-07-22,301,11.9
2024-07-29,319,13.0
2024-08-05,323,11.83
2024-08-12,293,11.85
2024-08-19,321,11.74
2024-08-26,323,11.69
2024-09-02,303,11.41
2024-09-09,302,11.61
2024-09-16,298,12.2
2024-09-23,294,11.83
2024-09-30,329,11.99
2024-10-07,349,12.7
2024-10-14,297,12.26
2024-10-21,276,12.55
2024-10-28,313,12.3
2024-11-04,330,12.43
2024-11-11,369,13.19
2024-11-18,366,13.05
2024-11-25,299,12.98
2024-12-02,254,12.98
2024-12-09,248,12.98
2024-12-16,252,12.87
2024-12-23,203,12.83
2025-01-06,277,12.83
2025-01-13,305,12.99
2025-01-20,254,13.17
2025-01-27,302,12.73
2025-02-03,326,12.73
2025-02-10,323,12.69
2025-02-17,292,13.25
2025-02-24,269,13.67
2025-03-03,242,13.76
2025-03-10,276,12.42
2025-03-17,293,12.11
2025-03-24,268,12.11
2025-03-31,326,12.21
2025-04-07,320,11.97
2025-04-14,331,11.92
2025-04-21,324,11.92
2025-04-28,349,11.9
2025-05-05,401,11.92
2025-05-12,350,11.92
2025-05-19,323,11.92
2025-05-26,342,11.91
2025-06-02,344,11.29
2025-06-09,371,11.89
2025-06-16,386,11.72
2025-06-23,365,11.92
2025-06-30,401,11.92
2025-07-07,367,11.91
2025-07-14,305,11.92
2025-07-21,284,11.93
