date,estimated_units_sold,last_known_price
2024-07-15,164,3.5
2024-07-22,261,3.5
2024-07-29,269,3.5
2024-08-05,278,3.5
2024-08-12,309,3.35
2024-08-19,319,3.35
2024-08-26,361,3.35
2024-09-02,295,3.51
2024-09-09,333,3.41
2024-09-16,308,3.71
2024-09-23,267,3.49
2024-09-30,350,3.34
2024-10-07,462,3.43
2024-10-14,380,3.44
2024-10-21,247,5.3
2024-10-28,196,5.95
2024-11-04,178,5.95
2024-11-11,272,5.43
2024-11-18,500,3.34
2024-11-25,863,2.98
2024-12-02,804,3.26
2024-12-09,771,3.46
2024-12-16,686,3.43
2024-12-23,613,3.57
2025-01-06,732,3.39
2025-01-13,723,3.56
2025-01-20,812,3.29
2025-01-27,733,3.46
2025-02-03,719,3.67
2025-02-10,762,3.37
2025-02-17,578,3.71
2025-02-24,658,3.49
2025-03-03,620,3.29
2025-03-10,663,3.64
2025-03-17,674,3.67
2025-03-24,754,3.54
2025-03-31,769,3.37
2025-04-07,803,3.21
2025-04-14,804,3.34
2025-04-21,780,3.49
2025-04-28,719,3.57
2025-05-05,789,3.37
2025-05-12,751,3.57
2025-05-19,753,3.52
2025-05-26,667,3.52
2025-06-02,678,3.52
2025-06-09,710,3.52
2025-06-16,759,3.52
2025-06-23,681,3.57
2025-06-30,769,3.52
2025-07-07,688,3.52
2025-07-14,648,3.57
2025-07-21,547,3.58
