date,estimated_units_sold,last_known_price
2024-07-15,46,34.97
2024-07-22,102,37.27
2024-07-29,80,39.0
2024-08-05,68,39.0
2024-08-12,71,39.0
2024-08-19,98,39.0
2024-08-26,91,39.0
2024-09-02,125,39.0
2024-09-09,120,39.0
2024-09-16,127,39.0
2024-09-23,136,39.0
2024-09-30,141,39.0
2024-10-07,415,38.49
2024-10-14,216,38.43
2024-10-21,200,37.93
2024-10-28,225,37.66
2024-11-04,264,37.25
2024-11-11,314,36.69
2024-11-18,443,30.83
2024-11-25,417,29.27
2024-12-02,276,30.36
2024-12-09,139,37.14
2024-12-16,97,39.0
2024-12-23,125,39.0
2025-01-06,178,39.0
2025-01-13,243,36.71
2025-01-20,300,35.79
2025-01-27,229,37.32
2025-02-03,313,35.88
2025-02-10,223,38.16
2025-02-17,139,37.87
2025-02-24,151,37.21
2025-03-03,165,37.97
2025-03-10,130,38.69
2025-03-17,107,37.43
2025-03-24,106,37.32
2025-03-31,154,38.0
2025-04-07,146,37.53
2025-04-14,149,37.39
2025-04-21,589,35.95
2025-04-28,1139,31.4
2025-05-05,1169,29.98
2025-05-12,1043,29.98
2025-05-19,1062,35.86
2025-05-26,1121,36.25
2025-06-02,1212,34.73
2025-06-09,1422,37.56
2025-06-16,1350,38.67
2025-06-23,661,36.39
2025-06-30,1469,39.0
2025-07-07,1577,39.0
2025-07-14,2011,37.93
2025-07-21,1744,39.0
