time_period,units_accuracy_mean,units_accuracy_5pct,units_accuracy_25pct,units_accuracy_75pct,units_accuracy_95pct,revenue_accuracy_mean,revenue_accuracy_5pct,revenue_accuracy_25pct,revenue_accuracy_75pct,revenue_accuracy_95pct,price_accuracy_mean,price_accuracy_5pct,price_accuracy_25pct,price_accuracy_75pct,price_accuracy_95pct
2024-07-01,0.312,0.212,0.272,0.34,0.428,0.329,0.244,0.298,0.352,0.425,1.073,0.996,1.041,1.101,1.156
2024-08-01,0.768,0.577,0.708,0.855,0.922,0.771,0.584,0.712,0.854,0.923,1.004,0.998,1.001,1.007,1.013
2024-09-01,0.778,0.581,0.681,0.909,0.929,0.788,0.582,0.684,0.918,0.957,1.01,1.001,1.001,1.012,1.03
2024-10-01,0.782,0.632,0.642,0.853,1.027,0.834,0.666,0.704,0.936,1.043,1.074,1.006,1.032,1.12,1.138
2024-11-01,0.737,0.598,0.704,0.791,0.849,0.764,0.611,0.724,0.844,0.862,1.036,1.006,1.015,1.047,1.082
2024-12-01,0.767,0.642,0.74,0.81,0.87,0.784,0.656,0.751,0.828,0.899,1.022,1.009,1.018,1.027,1.034
2025-01-01,0.827,0.754,0.781,0.842,0.943,0.826,0.747,0.778,0.845,0.946,0.999,0.99,0.997,1.003,1.004
2025-02-01,0.792,0.672,0.767,0.853,0.862,0.793,0.672,0.77,0.853,0.863,1.002,1.0,1.0,1.002,1.004
2025-03-01,0.751,0.641,0.705,0.816,0.835,0.75,0.629,0.703,0.823,0.836,0.998,0.98,0.995,1.005,1.01
2025-04-01,0.745,0.617,0.679,0.834,0.839,0.749,0.615,0.681,0.843,0.849,1.005,0.995,0.999,1.009,1.019
2025-05-01,0.794,0.642,0.668,0.836,1.064,0.646,0.548,0.609,0.692,0.731,0.868,0.553,0.865,1.0,1.001
2025-06-01,0.942,0.701,0.797,1.006,1.296,0.943,0.702,0.797,1.008,1.299,1.001,1.0,1.0,1.001,1.002
